TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
4.458231293,0.107412,1.33072,0.0257349,0.0143216,2.13643,1.7912,0,0.0269088,0.00130031,4.11634,0.00395189,0.116564
4.504671202,0.0413166,0.706473,0.0039471,0.0116437,2.84164,0.24326,0,0,0.0269227,4.07274,0.052565,0.217139
4.551111111,0,0.320464,0.00515083,0.0068553,2.81828,0.222997,0,0,0.0624741,4.13322,0.116019,0.271182
4.597551020,0,0.162232,0.00507204,0.00930095,2.87936,0.150173,0,0,0.0856941,4.24306,0.0418215,0.35728
4.643990930,0,0.213409,0.00466189,0.0126876,2.81965,0.143617,0,0,0.0333593,4.35557,0,0.357171
4.690430839,0,0.585036,0.00438428,0.00767357,2.80586,0.108825,0,0,0.0081367,4.41402,0.065239,0.27759
4.736870748,0,0.922103,0.0397725,0,2.85241,0.146539,0,0.0168273,0.00696843,4.46531,0.137786,0.146698
4.783310658,0.000935999,1.02635,0.0446649,0.00699105,2.8685,0.173312,0,0.0913333,0.00620447,4.40927,0.1456,0.0985427
4.829750567,3.39484e-05,1.07062,0.0334028,0.0256767,2.9277,0.177729,0,0.185217,0.00363512,4.18306,0.142329,0.221271
4.876190476,3.3002e-05,0.968118,0.016431,0.00378609,2.94329,0.348546,0,0.231049,0.0409323,4.04257,0.187043,0.287165
4.922630385,0,0.857695,0.010605,0.0320929,2.88031,0.562762,0,0.265939,0.05658,3.86325,0.460275,0.177687
4.969070295,0,1.08662,0.0124363,0.044638,2.60635,0.725314,0,0.297632,0.255459,3.66058,0.647352,0.0751223
5.015510204,0,1.22621,0.0843752,0.0910166,2.43022,0.8678,0,0.314508,0.308153,3.71567,0.548512,0.0536355
5.061950113,0,1.24174,0.170107,0.0802079,2.14838,1.06585,0.00208711,0.311341,0.0349218,3.98052,0.254268,0.044003
5.108390023,0,1.37421,0.192573,0.0532121,2.13447,1.17411,0.00453933,0.338169,0.0313713,3.90784,0.145198,0.0322601
5.154829932,0,1.23472,0.184158,0.0646393,2.25306,1.22951,0,0.343843,0.30307,3.77737,0.106012,0.12529
5.201269841,0,1.01262,0.150701,0.100855,2.23903,1.2323,0,0.261472,0.600353,3.70347,0.0647969,0.592467
5.247709751,0,0.96109,0.123587,0.127427,1.96206,1.12321,0,0.0993695,0.549908,3.77516,0.0962081,0.797315
5.294149660,0,0.80291,0.0952026,0.166771,2.04484,0.950981,0,0.168878,0.375468,3.82164,0.144981,0.690416
5.340589569,0.00285486,0.798367,0.048843,0.172967,2.61762,0.634199,0.00451363,0.195998,0.341348,3.82753,0.117254,0.608773
5.387029478,0.072358,0.643863,0.00879503,0.0962795,2.76944,0.340185,0,0.122961,0.382966,3.99506,0.00345078,0.693052
5.433469388,0,0.556543,0.00095531,0.0444266,2.81252,0.0825561,0,0.157098,0.358825,4.15464,0.000795371,0.579523
5.479909297,0,0.701111,0.0015784,0.0548784,2.76977,0.0172489,0,0.247308,0.120031,4.17964,0.0589054,0.557637
5.526349206,0,0.818983,0.00120124,0.0780813,2.8322,0.0116312,0,0.306159,0.0933995,4.13729,0.0836533,0.672938
5.572789116,0,0.665044,0.0089433,0.0741358,2.90908,0.0149859,0,0.29568,0.0596884,4.25381,0.0601734,0.581185
5.619229025,0,0.574072,0.105048,0.0449043,2.90053,0.0165743,0.0129157,0.154693,0.035694,4.33545,0.000247996,0.43064
5.665668934,0,0.454434,0.123502,0.0237764,2.89828,0.0106568,0.0908116,0.0571956,0.000776962,4.3186,0.0069655,0.288452
5.712108844,0,0.414818,0.102341,0.00831724,2.8786,0.00471843,0.118473,0.0101886,0,4.33778,0.121714,0.151544
5.758548753,0,0.317319,0.0847372,0.0283531,2.89289,0.00113565,0.074827,0,0,4.33071,0.140046,0.161734
5.804988662,0,0.143157,0.118354,0.0898733,2.82391,0,0.0473853,0,0,4.319,0.13547,0.342488
5.851428571,0,0.126017,0.138313,0.138415,2.88579,0.000112279,0.00668136,0.0279345,0,4.3663,0.133125,0.383141
5.897868481,0,0.525686,0.0147462,0.163499,2.87131,0.000153959,0,0.124748,0,4.4655,0.110302,0.33886
5.944308390,0,0.656138,0.0288689,0.173703,2.83072,0.000157207,0,0.183529,0,4.55102,0.0388054,0.247297
5.990748299,0,0.697825,0.0125136,0.164459,2.65658,0.00190394,0,0.113542,0,4.63315,0.084227,0.126719
6.037188209,0,0.591051,0.00336972,0.140024,2.51493,0.0827231,0,0.0132999,0,4.67966,0.136932,0.0830468
6.083628118,0.0356572,0.694927,0.00255284,0.106446,2.54484,0,0,0.00288025,0,4.72601,0.112229,0.0833144
6.130068027,0.102624,0.693312,0.00216653,0.0777043,2.71578,0,0,0.00132108,0,4.66467,0.0428201,0.130312
6.176507937,0.00445998,0.632818,0.00303067,0.036196,2.77536,0.00397415,0,0.00506403,0.0602708,4.6377,0.000487071,0.140189
6.222947846,0,0.483574,0.00192576,0.0329808,2.7203,0,0,0.0231223,0,4.64374,0.0938182,0.0933625
6.269387755,0.000126678,0.36847,0.000486314,0.0267797,2.53631,0.00294386,0.0144308,0,0,4.59252,0.157207,0.072083
6.315827664,0.000120304,0.560034,0,0.0312892,2.47865,0.00664289,0.0342752,0.0039391,0,4.53167,0.162687,0.150289
6.362267574,0,0.96377,0,0.0568654,2.54884,0,0.0266999,0.0295181,0,4.48629,0.162525,0.170847
6.408707483,0,1.18199,0,0.0984735,2.67166,0.000827336,0,0.0645867,0.00263129,4.4216,0.145079,0.16081
6.455147392,0,1.09316,0,0.075138,2.63336,0.020274,0,0.0749735,0,4.56731,0.0889941,0.0856186
6.501587302,0,1.05348,0,0.0412719,2.56071,0.0252631,0.00233019,0.0976237,0,4.56715,0.0848087,0.0888168
6.548027211,0,0.862883,0,0.0245162,2.41903,0.0226464,0,0.136353,0,4.57522,0.110771,0.0714473
6.594467120,0,0.621617,0,0.0160974,2.19894,0.00485988,0,0.104376,0,4.68993,0.134459,0.0409846
6.640907029,0,0.635963,0,0.00494386,2.12582,0,0,0.121009,0.00431949,4.73843,0.124163,0.0407765
6.687346939,6.32131e-06,0.852208,0,0.0410012,2.10134,0.000882924,0.00406284,0.180062,0,4.73123,0.121426,0.0656784
6.733786848,0.000288026,0.912582,0,0.0416443,2.17133,0.00135556,0.0185231,0.221311,0,4.68659,0.146364,0.0909281
6.780226757,0.000383206,1.04123,0,0.046584,2.02553,0.000118091,0.00876644,0.314769,0,4.67701,0.136333,0.0925378
6.826666667,0.000233953,1.2511,0,0.0576666,1.83881,0,0.00228555,0.440327,0.00115389,4.60541,0.12111,0.110634
6.873106576,0,1.29329,0,0.0644865,1.99235,0.0430816,0,0.479965,0.0923381,4.52764,0.0195965,0.140974
6.919546485,0,1.1067,0,0.0830642,2.35453,0,0,0.592393,0.0800759,4.34833,0.0294876,0.114764
6.965986395,0.0129854,0.821892,0.05718,0.111734,2.40329,0.00305952,0,0.739487,0.0229023,4.26572,0.0792847,0.129241
7.012426304,0.0127942,0.803916,0.101554,0.12637,2.40711,0.00843841,0,0.748227,0,4.30687,0.123979,0.10657
7.058866213,0.00209518,0.942418,0.108907,0.138537,2.47012,0.00466245,0,0.776559,0.0248778,4.34774,0.0813634,0.125255
7.105306122,0,1.11149,0.0993646,0.136754,2.48342,0.00281942,0,0.832753,0.0196328,4.26773,0.0419861,0.131765
7.151746032,0,1.08136,0.0646813,0.0845941,2.61835,0.0211756,0.0238053,0.726339,0.00846613,4.15218,0.10926,0.0887191
7.198185941,0,1.15779,0.01466,0.0870604,2.64903,0.0396277,0.057843,0.485706,0.0172994,3.91735,0.140636,0.0534662
7.244625850,0,1.30565,0.0205035,0.136997,2.61624,0.0408272,0.057482,0.336023,0.0529562,3.42473,0.141821,0.0396381
7.291065760,0,1.35433,0.0665226,0.15185,2.28106,0.0339137,0.0783116,0.387305,0.0668692,3.37567,0.14142,0.0177074
7.337505669,0.0204629,1.36554,0.126357,0.129735,2.08817,0.0744553,0.0904608,0.453927,0.00950882,3.53165,0.145654,0.0436195
7.383945578,0.121089,1.56629,0.143805,0.123064,2.11191,0.109006,0.10294,0.477124,0.00382698,3.68208,0.108142,0.0544459
7.430385488,0.140197,1.65672,0.143349,0.17863,2.06158,0.043449,0.110926,0.486027,0.0106838,3.80335,0.0289715,0.105224
7.476825397,0.0138562,1.42794,0.151187,0.181438,2.26505,0.0317231,0.097753,0.512232,0.12787,3.75359,0.0545227,0.104618
7.523265306,0,1.18947,0.194498,0.158691,2.36024,0.0179927,0.0444998,0.342391,0.387928,3.5975,0.147568,0.217917
7.569705215,0.000200329,1.0818,0.219802,0.146331,2.39203,0.0152708,0,0.293536,0.341608,3.66344,0.152553,0.346138
7.616145125,6.67949e-05,1.07461,0.226755,0.127139,2.42129,0.0139281,0,0.325312,0.144913,3.92258,0.105409,0.380136
7.662585034,0,0.838818,0.230362,0.113572,2.48661,0.0164101,0,0.360173,0.147341,4.0753,0.0174223,0.529165
7.709024943,0,0.651912,0.204487,0.138884,2.51526,0.0187222,0,0.399076,0.16223,4.03115,0.0554509,0.789601
7.755464853,0,0.667174,0.0903498,0.157934,2.61788,0.0191711,0,0.449337,0.021418,3.89134,0.154195,0.960327
7.801904762,0.000220685,0.534416,0,0.0528792,2.91107,0.0149801,0.000877528,0.121375,0.0271402,3.56959,0.156022,1.02487
7.848344671,0.000880842,0.308754,0,0.0269852,3.03601,0.00557756,0.00144616,0.0730819,0.0331757,3.53105,0.140764,0.680725
7.894784580,0.00947501,0.179925,0,0.0307813,2.97411,0.000246941,0.0197724,0.0518508,0.0353235,3.55312,0.105868,0.583484
7.941224490,0,0.113844,0.000198933,0.00727171,2.92056,0.0217537,0.0323361,0.0337184,0.0361177,3.55032,0.0754805,0.5764
7.987664399,0,0.140553,0.000480373,0.0199923,2.80491,0.0160237,0.0254681,0.0552772,0.0349164,3.6113,0.0784463,0.491936
8.034104308,0,0.202996,0.000543702,0.0389542,2.85274,0,0.00202215,0.169707,0.031841,3.73156,0.0882132,0.407341
8.080544218,0,0.132393,0.00166031,0.0461227,2.9142,0,0.000826442,0.227412,0.0300439,3.77384,0.0951404,0.418869
8.126984127,0,0.00118379,0.0022213,0.0349069,3.0682,0,0,0.0858005,0.0593941,3.60169,0.12999,0.528994
8.173424036,0,0.00305609,0.000365959,0.00894588,3.00638,0.00715953,0,0.0184633,0.267174,3.32963,0.139084,0.511912
8.219863946,0,0.176379,0.000610347,0.00868653,3.05054,0.000105837,0,0.00130537,0.325351,3.15227,0.109522,0.483119
8.266303855,0,0.393341,0.00172653,0.00982052,3.18433,0.00597143,0,0.00482265,0.310594,3.11091,0.00773673,0.55865
8.312743764,0,0.527072,0.00313973,0,3.27332,0.0311283,0,0.0355697,0.25049,3.19431,0.0120151,0.889286
8.359183673,3.69791e-05,0.542385,0.00295794,0,3.2054,0.000258554,0,0.0405376,0.158343,3.34465,0.0724761,1.03471
8.405623583,2.93996e-05,0.399384,0,0.000603413,3.12635,0,0,0.0104845,0.146404,3.31511,0.0560807,0.992116
8.452063492,0,0.207628,0,0.000267484,3.1366,0,0.000943466,0.0211403,0.164187,3.34968,0.00125464,0.772462
8.498503401,0,0.142459,0,0.00118145,3.12718,0.000369608,0.144447,0.0305384,0.108504,3.39528,0.00174505,0.667292
8.544943311,0,0.240775,0.00184507,0.0027611,3.22349,0,0.139628,0.0623669,0.0584304,3.42043,0.106651,0.851427
8.591383220,0,0.103777,0.00387821,0,3.26638,0,0.00406388,0.100757,0.144355,3.34641,0.132672,1.12868
8.637823129,0.0325184,0.0021226,0.0040392,0,3.30879,0,0,0.157645,0.141407,3.36175,0.11386,1.02189
8.684263039,0.0487361,0.0272803,0.00444115,0.00081035,3.28759,0,0,0.237939,0.121385,3.46237,0.0924488,0.767799
8.730702948,0,0.176329,0.00512813,0.00343067,3.23643,0,0,0.270706,0.114149,3.52186,0.150934,0.664137
8.777142857,0.00870706,0.268506,0.00571291,0.00719555,3.09452,0,0,0.0985391,0.0729395,3.43997,0.148066,0.767999
8.823582766,0.0999829,0.091914,0.00407844,0.0143082,3.10633,0,0.251469,0,0.0418868,3.48311,0.135102,0.670113
8.870022676,0.0417792,0,0.00128717,0.0144407,3.18794,0,0.330797,0,0.0386956,3.55483,0.0876666,0.603137
8.916462585,0,0.0679856,0.00189347,0.0164086,3.29148,0.0102968,0.272451,0,0.0798511,3.45111,0.0293684,0.601952
8.962902494,0.0650853,0.0292693,0.00405145,0.00885728,3.16137,0.00806437,0.253665,0,0.169469,3.30439,0.0999591,0.709186
9.009342404,0.155071,0.000397151,0.00413784,0.00621596,3.18375,0,0.347777,0,0.15661,3.02229,0.144774,0.875256
9.055782313,0.119764,0.000742515,0.00381651,0.00147767,3.34033,0,0.210875,0.0217217,0.161025,2.92625,0.159593,0.879288
9.102222222,0.0428249,0.00241403,0.00163617,0.00238875,3.27869,0,0,0,0.125735,3.15471,0.102175,0.770055
9.148662132,0.139976,0.00259204,0.00135992,0.0187336,3.27549,0,0,0,0.112714,3.18812,0.0605092,0.689552
9.195102041,0.0950878,0.00286378,0.00292314,0.0429801,3.3442,0.00354638,0,0,0.218727,2.90265,0.0672583,0.662554
9.241541950,3.06911e-05,0.0079324,0.00437425,0.000611863,3.41565,0.0108994,0.00961273,8.12931e-05,0.416596,2.54856,0.114074,0.651022
9.287981859,0,0.12823,0.00473847,0.00153598,3.47042,0.0283443,0.00615382,0,0.471613,2.51089,0.142799,0.791475
9.334421769,0.0554482,0.0604011,0.00453111,0.00189844,3.45237,0.126562,0,0,0.493787,2.5174,0.137325,0.976422
