TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
83.824036281,-215.364,0.719324,-23.1387,13.6119,-10.9645,-0.266015,-9.35033,-5.63612,-4.32327,2.30013,0.697606,-0.519003,5.26115,6.2573,7.40359,8.9887,6.66127,8.02638,-0.128284,-8.95116,-4.3911
83.847256236,-217.492,2.15133,-24.0606,11.4833,-10.6127,3.64877,-6.6141,-8.33619,-8.84796,3.05416,3.79461,1.67288,4.5145,7.62956,5.15999,6.24059,7.66079,7.35789,-0.699556,-7.4086,-3.97941
83.870476190,-220.927,-1.04598,-22.8939,14.8128,-8.38239,5.752,-4.74601,-7.92653,-9.49177,1.05649,2.12758,2.93806,6.11428,7.77519,5.67737,6.99177,6.21733,7.09591,-0.216253,-4.46499,-1.19772
83.893696145,-218.78,-0.499719,-25.6498,11.8696,-13.2947,1.33702,-6.99691,-5.31619,-4.29795,4.10428,1.95405,0.0374834,5.27983,9.56865,5.38628,5.37411,6.45608,9.46683,1.83394,-4.91758,-4.9255
83.916916100,-213.501,2.91687,-25.0274,11.4734,-11.1512,2.31563,-6.94295,-4.49407,-1.97548,7.80295,4.2156,0.294772,2.55978,4.0998,1.81908,5.07436,6.79573,7.41374,-1.05151,-6.93989,-5.43322
83.940136054,-218.964,1.91308,-24.4825,11.4148,-9.09525,2.98763,-8.28187,-5.15281,-5.15847,3.48413,-0.709729,-3.01014,2.98933,6.81149,4.18921,6.6346,9.16281,9.44614,3.20575,-3.36193,-3.98797
83.963356009,-214.686,7.35421,-22.4051,10.3508,-10.9795,2.42433,-12.8059,-7.2438,-7.9807,2.54904,1.55059,-0.61,3.34043,5.24951,6.47937,7.73225,8.72576,8.46258,2.87264,-2.91954,-3.02603
83.986575964,-223.853,5.63033,-23.8114,10.1368,-11.8264,0.967092,-8.95478,-2.92672,-2.95075,4.74741,1.83959,0.175303,2.69025,1.53464,2.8656,7.38098,7.26956,7.9135,0.46909,-2.62671,-1.40384
84.009795918,-226.679,8.07941,-21.8478,9.64277,-12.8711,0.927416,-9.59292,-4.88289,-3.47912,5.4984,1.70515,-1.55283,0.311492,4.35449,6.53443,10.0573,7.74159,7.29614,1.86141,-0.7145,1.44448
84.033015873,-228.847,3.01349,-24.4532,11.77,-9.65541,2.20403,-9.43504,-2.99554,-4.39453,5.57898,5.05956,-0.617162,-0.969789,3.11933,5.33201,7.67748,7.78361,8.68837,2.32551,-0.877437,-1.39106
84.056235828,-225.917,5.87695,-22.0413,13.2137,-7.37015,4.09672,-8.80576,-6.19014,-10.5913,0.641255,-0.494211,-2.60348,0.891156,6.5518,8.66583,7.88041,9.3607,7.03021,3.24224,-0.242489,1.39727
84.079455782,-226.002,5.06992,-20.5603,13.0248,-9.44611,3.5269,-7.98565,-7.08293,-10.6945,2.97704,1.23897,-1.86631,0.214863,2.99782,6.74612,8.80481,11.1106,10.3395,4.08567,-1.62858,-1.1354
84.102675737,-221.03,8.60796,-17.1484,14.7296,-13.0273,0.0489821,-9.68637,-4.37632,-8.23908,2.40081,-0.776531,-2.29498,2.46844,3.91089,4.30774,6.50042,8.3656,8.13478,3.14737,-2.46745,-1.57354
84.125895692,-223.948,5.36217,-21.0542,11.8154,-13.3741,-1.12891,-10.2832,-4.66585,-9.06927,3.3724,-0.829149,-3.03669,1.58214,5.79173,5.13506,8.97845,10.631,10.052,4.63655,-0.666878,0.3101
84.149115646,-227.077,4.38674,-17.8591,14.2895,-10.0296,0.0434673,-13.2544,-8.57989,-7.1315,3.98681,-3.86233,-1.11274,2.31955,1.12153,5.23312,7.89071,8.47589,8.90442,4.25631,-1.30871,-1.00973
84.172335601,-225.392,4.12329,-19.7797,10.726,-9.51264,4.54491,-8.95733,-7.1181,-8.34856,5.94129,-4.32783,-0.708149,4.61342,2.46528,4.39938,8.03679,11.0095,9.71008,4.60499,1.72408,-0.452557
84.195555556,-234.337,4.64617,-17.1335,10.6992,-11.1143,3.54661,-6.12348,-4.09289,-11.1015,2.33275,-1.68291,-0.660124,2.33929,0.656851,5.21664,7.30382,8.44058,10.5212,3.79464,-1.69727,-1.73363
84.218775510,-229.411,2.50888,-10.533,7.79634,-4.16113,4.24193,-9.40771,-1.63611,-8.83965,0.737349,-3.92147,2.6163,0.816434,1.42468,2.59591,6.80435,7.29446,8.20143,2.58711,-1.22911,-2.16825
