Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:56von762XlyEtT3qQhm47H,"Beauty and the Beast - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,216640,47,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.551,0.907,4,-6.75,0,0.0616,0.00203,0.108,0.0358,0.752,124.397,4
spotify:track:1HLbeCJcoW6Bo9xNgWXlSO,"Joe the Lion - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,188133,42,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.492,0.945,3,-4.968,0,0.126,0.0233,0.181,0.133,0.66,121.607,4
spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,"""Heroes"" - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,371413,82,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,4
spotify:track:3O85NMbjKkbcCi44UAwOx4,"Sons of the Silent Age - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,200306,44,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.388,0.646,10,-6.504,1,0.0329,0.0945,0.00112,0.0947,0.157,111.222,4
spotify:track:5p3dakY9xb0ArzIHUBshm6,"Blackout - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,229920,43,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.533,0.911,7,-5.742,1,0.0996,0.00353,0.00336,0.0828,0.782,121.913,4
spotify:track:6PRZIYPOPMt5y8wGofp44d,"V-2 Schneider - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,191426,43,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.452,0.826,0,-7.144,1,0.0465,0.00581,0.963,0.389,0.207,123.182,4
spotify:track:1d89lSLqTpMMpcKBWzVWcm,"Sense of Doubt - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,239600,41,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.1,0.315,4,-19.137,0,0.0425,0.579,0.933,0.144,0.0366,88.114,5
spotify:track:2hBsekQsE7bxL4lNGpG1tL,"Moss Garden - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,305866,41,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.163,0.195,1,-18.134,1,0.0359,0.386,0.891,0.158,0.18,77.685,4
spotify:track:5ZOitdISR9foFR6QrcZFCa,"Neuköln - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,274560,39,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.163,0.338,10,-14.569,1,0.0429,0.889,0.864,0.197,0.0392,75.753,4
spotify:track:4F1V29ygbAKbKCQDgt4z9f,"The Secret Life of Arabia - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,226906,41,false,meikeenlotte,2026-02-16T09:20:30Z,"glamrock,artrock","Parlophone UK",0.553,0.877,2,-7.752,0,0.0474,0.00994,0.00751,0.111,0.912,104.752,4
spotify:track:1Xb5UAKg5OdTHkg48FdQou,"★","Blackstar","David Bowie",2016-01-08,597933,53,false,meikeenlotte,2026-02-16T09:23:06Z,"glamrock,artrock","Rhino",0.364,0.525,6,-9.203,1,0.0321,0.208,0.0605,0.183,0.122,98.042,4
spotify:track:7CEjBoE7psDI0hXyZbl6mv,"'Tis A Pity She Was A Whore","Blackstar","David Bowie",2016-01-08,292626,49,true,meikeenlotte,2026-02-16T09:23:06Z,"glamrock,artrock","Rhino",0.505,0.955,5,-4.539,1,0.125,0.00428,0.058,0.094,0.447,131.998,4
spotify:track:7rFN0DhIFPjAWG1EaHO2F0,"Lazarus","Blackstar","David Bowie",2016-01-08,384453,59,false,meikeenlotte,2026-02-16T09:23:06Z,"glamrock,artrock","Rhino",0.667,0.691,9,-6.883,0,0.0284,0.0474,0.119,0.087,0.479,129.952,4
spotify:track:0DEslRB6ry2swHIY0aaNzY,"Sue (Or In A Season Of Crime)","Blackstar","David Bowie",2016-01-08,280373,47,false,meikeenlotte,2026-02-16T09:23:06Z,"glamrock,artrock","Rhino",0.371,0.868,11,-5.695,0,0.0979,0.0245,0.0183,0.58,0.376,170.206,4
spotify:track:6v7gMNeD8eK3HsbMPWlfME,"Girl Loves Me","Blackstar","David Bowie",2016-01-08,291946,47,true,meikeenlotte,2026-02-16T09:23:06Z,"glamrock,artrock","Rhino",0.696,0.579,10,-7.625,0,0.0505,0.292,0.000182,0.292,0.351,137.01,4
spotify:track:1k5GEEuEoBiklGgmQcD62s,"Dollar Days","Blackstar","David Bowie",2016-01-08,284813,49,false,meikeenlotte,2026-02-16T09:23:06Z,"glamrock,artrock","Rhino",0.481,0.725,11,-7.116,0,0.049,0.0341,0.0000528,0.0967,0.172,119.876,4
spotify:track:4iXSEbAYfD0G4bqTkQCfSn,"I Can't Give Everything Away","Blackstar","David Bowie",2016-01-08,347280,49,false,meikeenlotte,2026-02-16T09:23:06Z,"glamrock,artrock","Rhino",0.496,0.931,5,-7.005,1,0.0657,0.11,0.049,0.33,0.417,119.989,4
